Date,Open,High,Low,Close,Currency
2010-03-22,1.8004,1.813,1.7869,1.7864,BRL
2010-03-23,1.7864,1.7951,1.7747,1.7762,BRL
2010-03-24,1.7762,1.802,1.7767,1.7997,BRL
2010-03-25,1.7997,1.8201,1.7898,1.818,BRL
2010-03-26,1.8201,1.8302,1.8068,1.8176,BRL
2010-03-29,1.8176,1.8179,1.7918,1.7944,BRL
2010-03-30,1.7944,1.7998,1.7858,1.7887,BRL
2010-03-31,1.7887,1.7909,1.7748,1.7836,BRL
2010-04-01,1.7797,1.7815,1.7635,1.763,BRL
2010-04-02,1.763,1.7655,1.7645,1.764,BRL
2010-04-05,1.764,1.7652,1.7518,1.7609,BRL
2010-04-06,1.7612,1.7705,1.7503,1.7542,BRL
2010-04-07,1.7532,1.7811,1.7513,1.7795,BRL
2010-04-08,1.78,1.7897,1.7698,1.778,BRL
2010-04-09,1.7796,1.7796,1.7629,1.7647,BRL
2010-04-12,1.7622,1.7698,1.7532,1.7532,BRL
2010-04-13,1.7538,1.7682,1.748,1.7485,BRL
2010-04-14,1.7485,1.7505,1.74,1.7446,BRL
2010-04-15,1.7447,1.7588,1.7305,1.7484,BRL
2010-04-16,1.7486,1.7669,1.741,1.756,BRL
2010-04-19,1.7601,1.7686,1.7495,1.7547,BRL
2010-04-20,1.7546,1.756,1.7445,1.7521,BRL
2010-04-21,1.752,1.753,1.7499,1.752,BRL
2010-04-22,1.7521,1.7715,1.7514,1.7643,BRL
2010-04-23,1.7643,1.7672,1.7542,1.7562,BRL
2010-04-26,1.7538,1.7558,1.7415,1.746,BRL
2010-04-27,1.7445,1.7727,1.7441,1.7708,BRL
2010-04-28,1.7595,1.7676,1.7453,1.7507,BRL
2010-04-29,1.7516,1.752,1.7218,1.7288,BRL
2010-04-30,1.7283,1.7402,1.7197,1.734,BRL
2010-05-03,1.737,1.7375,1.7258,1.7267,BRL
2010-05-04,1.7267,1.7649,1.7266,1.7632,BRL
2010-05-05,1.7623,1.7995,1.7626,1.793,BRL
2010-05-06,1.7942,1.8959,1.7898,1.8542,BRL
2010-05-07,1.8542,1.8748,1.818,1.8365,BRL
2010-05-10,1.8365,1.8365,1.7678,1.771,BRL
2010-05-11,1.771,1.7907,1.7715,1.7887,BRL
2010-05-12,1.7887,1.7887,1.7659,1.772,BRL
2010-05-13,1.7719,1.7802,1.7639,1.7733,BRL
2010-05-14,1.7733,1.8177,1.7736,1.797,BRL
2010-05-17,1.797,1.8346,1.7899,1.8,BRL
2010-05-18,1.7999,1.8227,1.7796,1.8201,BRL
2010-05-19,1.8201,1.8583,1.8185,1.8269,BRL
2010-05-20,1.8572,1.8973,1.8513,1.8814,BRL
2010-05-21,1.8814,1.9033,1.844,1.8515,BRL
2010-05-24,1.8529,1.8717,1.8396,1.868,BRL
2010-05-25,1.868,1.9157,1.8431,1.8436,BRL
2010-05-26,1.8437,1.8722,1.8288,1.8715,BRL
2010-05-27,1.8715,1.8715,1.8108,1.8138,BRL
2010-05-28,1.8138,1.8292,1.7986,1.8168,BRL
2010-05-31,1.8145,1.8239,1.7823,1.8198,BRL
2010-06-01,1.8192,1.8475,1.8151,1.8475,BRL
2010-06-02,1.8475,1.849,1.8155,1.8175,BRL
2010-06-03,1.817,1.8229,1.8145,1.8194,BRL
2010-06-04,1.8194,1.8665,1.8191,1.8625,BRL
2010-06-07,1.8625,1.8821,1.8516,1.8785,BRL
2010-06-08,1.8785,1.8805,1.8511,1.8535,BRL
2010-06-09,1.8535,1.8535,1.8341,1.8498,BRL
2010-06-10,1.8498,1.8498,1.8023,1.8015,BRL
2010-06-11,1.8015,1.817,1.7958,1.8087,BRL
2010-06-14,1.8087,1.8123,1.7902,1.8108,BRL
2010-06-15,1.8108,1.8108,1.7822,1.7845,BRL
2010-06-16,1.7846,1.7995,1.7795,1.7851,BRL
2010-06-17,1.785,1.7914,1.775,1.7803,BRL
2010-06-18,1.7803,1.7854,1.7668,1.7708,BRL
2010-06-21,1.7708,1.7748,1.7493,1.7711,BRL
2010-06-22,1.7704,1.7894,1.7611,1.7879,BRL
2010-06-23,1.7879,1.8083,1.7833,1.7866,BRL
2010-06-24,1.7866,1.8025,1.7774,1.782,BRL
2010-06-25,1.782,1.7891,1.774,1.778,BRL
2010-06-28,1.7751,1.7863,1.7732,1.7812,BRL
2010-06-29,1.7801,1.8177,1.7779,1.8116,BRL
2010-06-30,1.811,1.8135,1.789,1.8037,BRL
2010-07-01,1.8037,1.8129,1.7876,1.7896,BRL
2010-07-02,1.7896,1.7969,1.7672,1.7695,BRL
2010-07-05,1.7665,1.781,1.7668,1.7748,BRL
2010-07-06,1.7748,1.7857,1.754,1.7789,BRL
2010-07-07,1.779,1.7865,1.7598,1.7655,BRL
2010-07-08,1.7663,1.7759,1.7554,1.7636,BRL
2010-07-09,1.7636,1.7657,1.757,1.758,BRL
2010-07-12,1.7583,1.7704,1.7562,1.7605,BRL
2010-07-13,1.76,1.7639,1.7484,1.7538,BRL
2010-07-14,1.754,1.7692,1.7516,1.7629,BRL
2010-07-15,1.7628,1.7795,1.7511,1.7628,BRL
2010-07-16,1.7628,1.7882,1.762,1.7824,BRL
2010-07-19,1.784,1.7944,1.767,1.7914,BRL
2010-07-20,1.7914,1.8004,1.7697,1.7735,BRL
2010-07-21,1.7734,1.7859,1.7673,1.7805,BRL
2010-07-22,1.7805,1.7829,1.7558,1.7576,BRL
2010-07-23,1.7575,1.775,1.7528,1.7727,BRL
2010-07-26,1.7727,1.7743,1.7614,1.7615,BRL
2010-07-27,1.7625,1.7726,1.7529,1.7684,BRL
2010-07-28,1.7684,1.7745,1.7563,1.7656,BRL
2010-07-29,1.7695,1.7748,1.7562,1.7597,BRL
2010-07-30,1.7597,1.7718,1.7532,1.7525,BRL
2010-08-02,1.7538,1.7603,1.7435,1.7509,BRL
2010-08-03,1.7509,1.7643,1.7496,1.7554,BRL
