Date,Open,High,Low,Close,Volume,Currency
2025-11-03,99.75,99.99,99.71,99.87,1,USD
2025-11-04,99.98,100.25,99.74,100.22,1,USD
2025-11-05,100.18,100.36,100.06,100.2,1,USD
2025-11-06,100.11,100.11,99.67,99.73,1,USD
2025-11-07,99.76,99.87,99.4,99.6,0,USD
2025-11-10,99.63,99.74,99.46,99.59,1,USD
2025-11-11,99.66,99.74,99.29,99.44,1,USD
2025-11-12,99.46,99.71,99.42,99.5,1,USD
2025-11-13,99.52,99.59,98.99,99.16,1,USD
2025-11-14,99.24,99.41,98.99,99.29,0,USD
