Date,Open,High,Low,Close,Volume,Currency
2025-11-03,14.49,14.73,14.36,14.65,71588,USD
2025-11-04,14.65,14.72,14.13,14.22,60336,USD
2025-11-05,14.22,14.32,14.05,14.11,50615,USD
2025-11-06,14.08,14.44,14.04,14.19,53609,USD
2025-11-07,14.2,14.37,14.07,14.1,46723,USD
2025-11-10,14.17,14.42,14.08,14.2,55843,USD
2025-11-11,14.27,14.48,14.17,14.25,36604,USD
2025-11-12,14.27,14.57,14.18,14.52,49532,USD
2025-11-13,14.53,14.77,14.37,14.44,47402,USD
2025-11-14,14.4,15.05,14.36,14.85,78104,USD
